year,month,day,hour,solarenergy
2020,1,1,0,4.9
2020,1,1,1,34.5
2020,1,1,2,84.4
2020,1,1,3,95.8
2020,1,1,4,105.6
2020,1,1,5,18.9
2020,1,1,6,46.1
2020,1,1,7,8.5
2020,1,1,8,35.8
2020,1,1,9,4.7
2020,1,1,10,34.7
2020,1,1,11,33.2
2020,1,1,12,1.3
2020,1,1,13,59.1
2020,1,1,14,116.5
2020,1,1,15,64.2
2020,1,1,16,27.4
2020,1,1,17,53.3
2020,1,1,18,51.3
2020,1,1,19,14.7
2020,1,1,20,58.9
2020,1,1,21,5.9
2020,1,1,22,1.9
2020,1,1,23,83.9
2020,1,2,0,5.9
2020,1,2,1,7.1
2020,1,2,2,8.1
2020,1,2,3,25.3
2020,1,2,4,23.6
2020,1,2,5,49.8
2020,1,2,6,1.5
2020,1,2,7,27.0
2020,1,2,8,18.1
2020,1,2,9,18.3
2020,1,2,10,4.7
2020,1,2,11,62.2
2020,1,2,12,29.9
2020,1,2,13,22.0
2020,1,2,14,79.4
2020,1,2,15,77.2
2020,1,2,16,14.5
2020,1,2,17,18.4
2020,1,2,18,27.8
2020,1,2,19,19.5
2020,1,2,20,37.1
2020,1,2,21,45.3
2020,1,2,22,82.4
2020,1,2,23,11.5
2020,1,3,0,119.7
2020,1,3,1,21.8
2020,1,3,2,103.6
2020,1,3,3,82.4
2020,1,3,4,54.9
2020,1,3,5,46.0
2020,1,3,6,40.7
2020,1,3,7,110.1
2020,1,3,8,6.3
2020,1,3,9,21.8
2020,1,3,10,37.2
2020,1,3,11,21.2
2020,1,3,12,41.7
2020,1,3,13,115.1
2020,1,3,14,81.4
2020,1,3,15,41.8
2020,1,3,16,29.0
2020,1,3,17,49.0
2020,1,3,18,13.8
2020,1,3,19,53.3
2020,1,3,20,18.0
2020,1,3,21,37.7
2020,1,3,22,0.3
2020,1,3,23,16.1
2020,1,4,0,9.2
2020,1,4,1,51.3
2020,1,4,2,19.8
2020,1,4,3,91.6
2020,1,4,4,12.7
2020,1,4,5,74.3
2020,1,4,6,77.8
2020,1,4,7,59.4
2020,1,4,8,35.6
2020,1,4,9,30.8
2020,1,4,10,5.3
2020,1,4,11,63.7
2020,1,4,12,105.7
2020,1,4,13,33.8
2020,1,4,14,15.6
2020,1,4,15,36.8
2020,1,4,16,28.1
2020,1,4,17,22.2
2020,1,4,18,8.4
2020,1,4,19,11.8
2020,1,4,20,102.4
2020,1,4,21,16.6
2020,1,4,22,20.7
2020,1,4,23,104.7
2020,1,5,0,28.4
2020,1,5,1,32.7
2020,1,5,2,50.0
2020,1,5,3,11.6
2020,1,5,4,39.0
2020,1,5,5,33.1
2020,1,5,6,115.2
2020,1,5,7,62.3
2020,1,5,8,73.3
2020,1,5,9,86.0
2020,1,5,10,131.7
2020,1,5,11,14.1
2020,1,5,12,15.7
2020,1,5,13,22.6
2020,1,5,14,34.3
2020,1,5,15,93.5
2020,1,5,16,64.2
2020,1,5,17,60.3
2020,1,5,18,1.4
2020,1,5,19,19.2
2020,1,5,20,125.2
2020,1,5,21,38.9
2020,1,5,22,7.3
2020,1,5,23,122.0
2020,1,6,0,7.3
2020,1,6,1,99.0
2020,1,6,2,9.6
2020,1,6,3,22.9
2020,1,6,4,22.2
2020,1,6,5,35.0
2020,1,6,6,25.3
2020,1,6,7,22.6
2020,1,6,8,28.7
2020,1,6,9,11.2
2020,1,6,10,42.5
2020,1,6,11,118.5
2020,1,6,12,70.1
2020,1,6,13,14.7
2020,1,6,14,80.8
2020,1,6,15,23.4
2020,1,6,16,25.5
2020,1,6,17,13.3
2020,1,6,18,28.0
2020,1,6,19,15.4
2020,1,6,20,120.3
2020,1,6,21,58.3
2020,1,6,22,78.8
2020,1,6,23,67.6
2020,1,7,0,125.3
2020,1,7,1,101.8
2020,1,7,2,78.8
2020,1,7,3,38.3
2020,1,7,4,88.6
2020,1,7,5,82.6
2020,1,7,6,95.3
2020,1,7,7,4.7
2020,1,7,8,106.0
2020,1,7,9,32.9
2020,1,7,10,34.8
2020,1,7,11,29.4
2020,1,7,12,67.2
2020,1,7,13,29.4
2020,1,7,14,2.2
2020,1,7,15,9.9
2020,1,7,16,8.6
2020,1,7,17,17.5
2020,1,7,18,15.9
2020,1,7,19,13.8
2020,1,7,20,24.9
2020,1,7,21,125.5
2020,1,7,22,33.8
2020,1,7,23,77.6
2020,1,8,0,12.1
2020,1,8,1,91.6
2020,1,8,2,11.2
2020,1,8,3,3.6
2020,1,8,4,43.0
2020,1,8,5,80.0
2020,1,8,6,10.1
2020,1,8,7,28.8
2020,1,8,8,118.3
2020,1,8,9,14.2
2020,1,8,10,33.2
2020,1,8,11,60.8
2020,1,8,12,41.4
2020,1,8,13,45.8
2020,1,8,14,4.3
2020,1,8,15,22.2
2020,1,8,16,47.8
2020,1,8,17,30.8
2020,1,8,18,44.2
2020,1,8,19,11.4
2020,1,8,20,87.1
2020,1,8,21,0.6
2020,1,8,22,57.1
2020,1,8,23,8.8
2020,1,9,0,33.3
2020,1,9,1,52.4
2020,1,9,2,13.8
2020,1,9,3,106.8
2020,1,9,4,37.8
2020,1,9,5,74.1
2020,1,9,6,79.1
2020,1,9,7,6.4
2020,1,9,8,1.1
2020,1,9,9,48.6
2020,1,9,10,17.4
2020,1,9,11,39.1
2020,1,9,12,38.6
2020,1,9,13,4.5
2020,1,9,14,91.0
2020,1,9,15,28.5
2020,1,9,16,16.9
2020,1,9,17,1.6
2020,1,9,18,51.5
2020,1,9,19,73.0
2020,1,9,20,20.0
2020,1,9,21,42.6
2020,1,9,22,16.4
2020,1,9,23,12.3
2020,1,10,0,2.2
2020,1,10,1,89.6
2020,1,10,2,6.9
2020,1,10,3,70.4
2020,1,10,4,8.6
2020,1,10,5,16.8
2020,1,10,6,135.0
2020,1,10,7,17.0
2020,1,10,8,7.3
2020,1,10,9,38.8
2020,1,10,10,8.7
2020,1,10,11,45.4
2020,1,10,12,13.7
2020,1,10,13,75.9
2020,1,10,14,27.4
2020,1,10,15,60.6
2020,1,10,16,95.9
2020,1,10,17,14.2
2020,1,10,18,29.6
2020,1,10,19,6.6
2020,1,10,20,21.5
2020,1,10,21,0.7
2020,1,10,22,3.5
2020,1,10,23,6.7
2020,1,11,0,54.2
2020,1,11,1,29.6
2020,1,11,2,65.0
2020,1,11,3,21.9
2020,1,11,4,50.3
2020,1,11,5,24.1
2020,1,11,6,22.2
2020,1,11,7,8.6
2020,1,11,8,24.1
2020,1,11,9,41.4
2020,1,11,10,43.7
2020,1,11,11,60.4
2020,1,11,12,33.7
2020,1,11,13,2.1
2020,1,11,14,56.1
2020,1,11,15,12.2
2020,1,11,16,17.2
2020,1,11,17,38.7
2020,1,11,18,18.9
2020,1,11,19,50.9
2020,1,11,20,36.9
2020,1,11,21,67.6
2020,1,11,22,5.8
2020,1,11,23,65.5
2020,1,12,0,56.7
2020,1,12,1,105.1
2020,1,12,2,75.9
2020,1,12,3,13.6
2020,1,12,4,1.3
2020,1,12,5,51.3
2020,1,12,6,12.6
2020,1,12,7,4.8
2020,1,12,8,34.7
2020,1,12,9,140.2
2020,1,12,10,54.7
2020,1,12,11,12.6
2020,1,12,12,24.7
2020,1,12,13,98.5
2020,1,12,14,3.7
2020,1,12,15,5.4
2020,1,12,16,44.4
2020,1,12,17,16.7
2020,1,12,18,50.4
2020,1,12,19,20.2
2020,1,12,20,11.6
2020,1,12,21,82.3
2020,1,12,22,19.2
2020,1,12,23,88.7
2020,1,13,0,20.3
2020,1,13,1,8.7
2020,1,13,2,25.2
2020,1,13,3,64.5
2020,1,13,4,13.0
2020,1,13,5,24.7
2020,1,13,6,86.2
2020,1,13,7,38.1
2020,1,13,8,44.5
2020,1,13,9,134.2
2020,1,13,10,58.2
2020,1,13,11,18.8
2020,1,13,12,103.3
2020,1,13,13,55.8
2020,1,13,14,119.8
2020,1,13,15,37.9
2020,1,13,16,12.5
2020,1,13,17,6.1
2020,1,13,18,84.3
2020,1,13,19,22.7
2020,1,13,20,73.0
2020,1,13,21,42.7
2020,1,13,22,69.6
2020,1,13,23,94.9
2020,1,14,0,1.4
2020,1,14,1,5.6
2020,1,14,2,28.8
2020,1,14,3,12.3
2020,1,14,4,60.1
2020,1,14,5,29.4
2020,1,14,6,32.5
2020,1,14,7,85.8
2020,1,14,8,101.0
2020,1,14,9,4.0
2020,1,14,10,94.2
2020,1,14,11,7.2
2020,1,14,12,97.0
