name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ann Arbor,2024-07-25T00:00:00,18.1,18.1,15.7,85.97,0,0,,0,0,11.2,7.6,300,1020,0.8,16,0,0,0,10,Clear,clear-night,"KARB,KYIP,C4874,KDTW"
Ann Arbor,2024-07-25T01:00:00,18.6,18.6,16.2,86.13,0,0,,0,0,11.2,10.8,292,1020.5,1.7,16,0,0,0,10,Clear,clear-night,"KARB,KYIP,C4874,KDTW"
Ann Arbor,2024-07-25T02:00:00,15.4,15.4,14.6,94.76,0,0,,0,0,9.4,0.6,355,1020.6,0.8,11.7,0,0,0,10,Clear,clear-night,"KARB,KYIP,C4874,KDTW"
Ann Arbor,2024-07-25T03:00:00,14.3,14.3,14.1,98.72,0,0,,0,0,11.2,0.8,358,1020.7,0.8,3.2,0,0,0,10,Clear,clear-night,"KARB,KYIP,C4874,KDTW"
Ann Arbor,2024-07-25T04:00:00,14.3,14.3,14.1,98.83,0,0,,0,0,11.2,0.3,1,1020.9,50,4.6,0,0,0,10,Partially cloudy,partly-cloudy-night,"KARB,KYIP,C4874,KDTW"
Ann Arbor,2024-07-25T05:00:00,17.3,17.3,16.2,93.26,0,0,,0,0,13,5.5,40,1020.8,83.7,14.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"KARB,KYIP,C4874,KDTW"
Ann Arbor,2024-07-25T06:00:00,16.8,16.8,15.8,93.64,0,0,,0,0,13,5.8,26,1021.1,34.3,16,0,0,0,3,Partially cloudy,partly-cloudy-night,"KARB,KYIP,C4874,KDTW"
Ann Arbor,2024-07-25T07:00:00,16.8,16.8,15.1,90.06,0,0,,0,0,13,5.4,17,1021.5,48.4,15.9,20,0.1,0,10,Partially cloudy,partly-cloudy-day,"KARB,KYIP,C4874,KDTW"
Ann Arbor,2024-07-25T08:00:00,18.4,18.4,16.2,87.3,0,0,,0,0,14.8,9.6,352,1022.1,88,15.9,95,0.3,1,10,Partially cloudy,partly-cloudy-day,"KARB,KYIP,C4874,KDTW"
Ann Arbor,2024-07-25T09:00:00,20.6,20.6,16.6,77.67,0,0,,0,0,14.8,9.4,6,1022.5,34.3,16,306,1.1,3,10,Partially cloudy,partly-cloudy-day,"KARB,KYIP,C4874,KDTW"
Ann Arbor,2024-07-25T10:00:00,20,20,16.7,81.3,0,2,,0,0,14.8,9.4,0,1022,39,16.2,465,1.7,5,10,Partially cloudy,partly-cloudy-day,
Ann Arbor,2024-07-25T11:00:00,21.7,21.7,16.2,70.93,0,2,,0,0,16.6,11.2,0,1022,27,16.2,637,2.3,6,10,Partially cloudy,partly-cloudy-day,
Ann Arbor,2024-07-25T12:00:00,22.8,22.8,15.6,63.84,0.3,2,rain,0,0,16.6,11.2,350,1022,27,16.2,661,2.4,7,10,Partially cloudy,partly-cloudy-day,
Ann Arbor,2024-07-25T13:00:00,23.9,23.9,15,57.48,0,2,,0,0,16.6,11.2,350,1022,22,16.2,751,2.7,8,10,Partially cloudy,partly-cloudy-day,
Ann Arbor,2024-07-25T14:00:00,24.5,24.5,14.5,53.69,0,0,,0,0,16.6,13,350,1022,22,16.2,832,3,8,10,Partially cloudy,partly-cloudy-day,
Ann Arbor,2024-07-25T15:00:00,25,25,14.5,52.11,0,0,,0,0,16.6,11.2,350,1022,20,16.2,849,3.1,8,10,Clear,clear-day,
Ann Arbor,2024-07-25T16:00:00,25.6,25.6,13.9,48.37,0,0,,0,0,16.6,11.2,350,1022,15,16.2,801,2.9,8,10,Clear,clear-day,
Ann Arbor,2024-07-25T17:00:00,25,25,13.9,50.12,0,0,,0,0,16.6,13,350,1021,11,16.2,684,2.5,7,10,Clear,clear-day,
Ann Arbor,2024-07-25T18:00:00,24.5,24.5,13.4,49.99,0,0,,0,0,16.6,11.2,350,1021,9,16.2,527,1.9,5,10,Clear,clear-day,
Ann Arbor,2024-07-25T19:00:00,23.9,23.9,13.4,51.82,0,0,,0,0,16.6,11.2,350,1021,5,16.2,352,1.3,4,10,Clear,clear-day,
Ann Arbor,2024-07-25T20:00:00,22.3,22.3,13.4,57.09,0,0,,0,0,16.6,9.4,360,1021,9,16.2,209,0.8,2,10,Clear,clear-day,
Ann Arbor,2024-07-25T21:00:00,20.6,20.6,13.4,63.36,0,0,,0,0,14.8,7.6,10,1021,10,16.2,8,0,0,10,Clear,clear-day,
Ann Arbor,2024-07-25T22:00:00,18.4,18.4,13.4,72.65,0,0,,0,0,11.2,5.4,30,1021,7,16.2,5,0,0,10,Clear,clear-night,
