temp,feelslike,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
1.9,-2.1,-3.2,69.05,0.0,0,36.4,15.5,297,1003.6,100.0,15.9,0,0.0,0
1.5,-3.5,-3.7,68.69,0.0,0,37.1,20.7,297,1003.8,100.0,15.9,0,0.0,0
1.0,-3.8,-4.1,68.96,0.0,0,37.1,18.9,300,1004.2,100.0,15.8,0,0.0,0
0.9,-3.7,-4.2,68.99,0.0,0,39.2,16.9,299,1004.8,100.0,15.9,0,0.0,0
0.3,-3.8,-4.2,71.81,0.0,0,32.0,13.7,307,1005.2,100.0,16.0,0,0.0,0
0.3,-4.2,-3.8,74.25,0.0,0,35.3,15.7,289,1005.7,100.0,16.0,0,0.0,0
0.3,-5.2,-4.2,72.07,0.0,0,29.5,22.3,296,1006.3,100.0,16.0,0,0.0,0
0.2,-3.7,-3.7,74.64,0.0,0,30.2,12.8,299,1007.3,100.0,16.0,0,0.0,0
0.2,-4.8,-4.2,72.39,0.0,0,29.9,18.8,289,1008.3,100.0,16.0,17,0.1,0
0.9,-4.8,-4.2,69.1,0.0,0,34.2,25.3,299,1009.3,100.0,16.0,81,0.3,1
1.4,-4.6,-5.5,60.03,0.0,0,47.7,29.9,300,1010.3,100.0,16.0,193,0.7,2
2.0,-2.6,-4.3,62.67,0.0,0,46.9,19.4,318,1011.7,89.4,16.0,271,1.0,3
2.5,-2.3,-3.4,65.29,0.0,0,37.6,21.4,319,1012.6,98.8,10.7,354,1.3,4
2.5,-2.7,-4.4,60.25,0.0,0,44.3,25.1,317,1013.7,100.0,16.0,368,1.3,4
2.5,-3.4,-5.9,53.84,0.0,0,45.9,31.9,328,1014.9,100.0,16.0,320,1.2,3
3.2,-2.1,-6.0,50.97,0.0,0,44.9,27.5,310,1015.8,100.0,16.0,229,0.8,2
3.1,-1.8,-6.0,51.31,0.0,0,48.1,23.9,325,1016.6,100.0,16.0,302,1.1,3
