temp,feelslike,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy
-0.4,-0.4,-2.6,84.79,0.0,0,16.6,0.9,42,1014.6,2.9,15.9,0,0.0
0.0,0.0,-2.7,82.37,0.0,0,18.4,0.0,0,1014.3,3.2,11.3,0,0.0
1.0,-1.8,-0.8,88.0,0.0,0,22.3,8.9,88,1012.8,85.0,12.9,0,0.0
1.7,-1.6,-0.6,84.4,0.0,0,25.9,11.3,81,1011.3,46.0,11.1,0,0.0
2.2,-0.6,-0.7,81.24,0.0,0,29.5,9.8,35,1011.2,100.0,13.2,0,0.0
2.2,-1.9,-0.6,81.45,0.302,100,27.7,16.6,48,1011.5,100.0,6.7,0,0.0
1.7,-1.5,-0.6,84.56,0.044,100,31.3,11.1,70,1010.7,100.0,9.9,0,0.0
1.8,-1.6,-0.6,83.98,0.0,0,33.5,11.9,69,1010.0,100.0,8.0,0,0.0
2.3,-0.7,-0.6,81.03,0.0,0,29.5,10.5,89,1009.2,89.0,8.7,28,0.1
2.9,-1.0,-0.6,77.4,0.0,0,29.5,16.5,79,1009.6,99.6,13.4,73,0.3
3.4,-0.1,0.0,78.22,0.0,0,27.7,14.6,110,1009.0,100.0,13.4,192,0.7
5.7,3.9,1.2,72.81,0.0,0,24.1,8.1,150,1008.4,32.1,16.0,376,1.4
7.2,7.2,1.7,68.07,0.0,0,13.0,1.9,328,1008.4,63.2,16.0,595,2.1
8.3,6.7,2.7,68.11,0.0,0,13.0,9.3,121,1007.8,43.7,16.0,668,2.4
10.0,8.8,3.3,63.33,0.0,0,13.0,8.9,180,1007.8,24.5,16.0,606,2.2
10.6,10.6,3.4,60.89,0.0,0,13.0,5.2,105,1006.9,0.9,16.0,512,1.8
11.7,11.7,4.3,60.55,0.0,0,13.0,9.4,159,1006.1,0.9,16.0,373,1.3
11.7,11.7,4.9,62.8,0.0,0,11.2,9.3,173,1006.1,0.9,16.0,189,0.7
10.7,10.7,4.9,67.33,0.0,0,9.4,8.0,188,1006.6,1.6,16.0,51,0.2
8.0,8.0,4.2,77.13,0.0,0,7.6,0.8,25,1006.9,1.6,14.2,6,0.0
5.8,5.8,3.3,84.08,0.0,0,9.4,1.3,18,1006.8,44.4,11.6,0,0.0
6.6,4.0,2.7,76.36,0.0,0,9.4,12.9,30,1006.7,5.9,15.6,0,0.0
5.9,3.1,1.6,73.74,0.0,0,11.2,13.9,327,1007.7,26.5,13.9,0,0.0
4.3,4.3,0.7,77.05,0.0,0,11.2,0.0,0,1007.8,3.2,15.6,0,0.0
1.7,0.3,-0.1,87.63,0.0,0,11.2,5.2,248,1007.8,2.9,11.0,0,0.0
-0.8,-0.8,-2.0,91.73,0.0,0,11.2,0.7,330,1007.5,1.6,4.0,0,0.0
-1.3,-1.3,-2.8,89.71,0.0,0,11.2,0.0,0,1007.5,1.6,3.2,0,0.0
-1.4,-1.4,-3.1,88.59,0.0,0,13.0,1.3,338,1007.5,36.8,5.0,0,0.0
-1.8,-3.9,-3.0,91.34,0.0,0,13.0,5.8,219,1007.7,12.3,4.9,0,0.0
-2.3,-5.9,-3.4,92.03,0.0,0,13.0,9.5,236,1008.1,3.2,4.1,0,0.0
-0.8,-4.7,-2.5,88.2,0.0,0,14.8,11.8,266,1008.6,3.2,6.4,0,0.0
1.7,-2.7,-0.6,84.64,0.0,0,20.5,17.0,289,1009.2,3.2,9.8,2,0.0
2.2,-1.6,0.0,85.08,0.0,0,40.7,14.3,290,1009.9,100.0,8.1,15,0.1
2.9,-1.0,0.6,85.45,0.0,0,35.3,15.8,301,1010.3,100.0,6.2,47,0.2
