year,month,day,hour,temp,feelslike,precip,windgust,windspeed,winddir,cloudcover,solarradiation,solarenergy
2020,1,1,0,-3.2,-1.4,0.07,13.6,4.2,173.7,12.4,33.3,4.9
2020,1,1,1,1.0,-0.5,0.01,9.6,8.3,224.3,65.4,103.7,34.5
2020,1,1,2,12.3,13.1,0.24,12.9,9.2,302.7,96.6,121.4,84.4
2020,1,1,3,6.3,4.8,0.01,13.4,12.0,245.8,78.3,115.3,95.8
2020,1,1,4,1.4,0.8,0.15,9.6,3.8,218.2,91.1,106.5,105.6
2020,1,1,5,10.6,11.6,0.27,19.7,11.2,137.9,8.5,87.3,18.9
2020,1,1,6,-4.7,-5.3,0.13,10.1,2.3,288.2,95.7,81.0,46.1
2020,1,1,7,8.6,8.8,0.14,0.5,0.3,6.2,92.1,11.0,8.5
2020,1,1,8,-4.3,-3.3,0.02,3.4,2.6,224.6,28.6,116.5,35.8
2020,1,1,9,-3.8,-4.6,0.28,5.7,3.2,336.2,56.2,5.5,4.7
2020,1,1,10,4.8,3.2,0.03,15.9,6.5,230.7,57.3,44.5,34.7
2020,1,1,11,1.3,3.2,0.29,9.9,6.1,246.3,50.5,40.4,33.2
2020,1,1,12,0.6,-1.0,0.13,16.1,11.9,151.8,86.3,10.7,1.3
2020,1,1,13,-6.1,-6.2,0.12,13.1,8.0,107.4,93.2,132.3,59.1
2020,1,1,14,-0.2,-0.7,0.24,3.1,2.7,38.8,66.3,128.8,116.5
2020,1,1,15,-4.4,-5.8,0.3,7.2,5.9,188.8,26.9,83.9,64.2
2020,1,1,16,-4.7,-2.8,0.23,9.6,7.5,169.1,81.0,90.2,27.4
2020,1,1,17,-6.7,-6.0,0.1,9.3,3.5,337.5,18.7,69.4,53.3
2020,1,1,18,-3.3,-5.3,0.08,13.6,11.0,331.6,74.6,70.5,51.3
2020,1,1,19,1.8,2.0,0.08,21.0,14.2,82.5,49.5,91.3,14.7
2020,1,1,20,2.2,2.6,0.19,12.4,2.7,255.4,9.3,68.0,58.9
2020,1,1,21,-2.4,-3.1,0.02,9.3,5.0,51.9,70.6,34.6,5.9
2020,1,1,22,-14.5,-14.0,0.25,12.1,10.3,168.1,86.0,3.5,1.9
2020,1,1,23,-2.2,-0.8,0.25,13.9,12.8,327.6,2.2,131.4,83.9
2020,1,2,0,-6.9,-8.3,0.19,9.2,2.5,204.4,79.4,7.6,5.9
2020,1,2,1,2.5,2.4,0.02,7.6,2.7,167.3,83.8,35.8,7.1
2020,1,2,2,3.3,3.8,0.19,7.4,4.1,324.8,39.5,36.7,8.1
2020,1,2,3,9.2,9.2,0.13,16.4,12.3,30.0,59.9,50.7,25.3
2020,1,2,4,-0.1,0.3,0.11,15.1,14.1,325.2,3.8,106.3,23.6
2020,1,2,5,4.6,5.6,0.24,8.2,1.1,169.3,94.8,71.7,49.8
2020,1,2,6,-4.6,-4.1,0.01,9.3,5.3,223.5,6.5,6.2,1.5
2020,1,2,7,5.2,5.8,0.11,20.5,14.9,217.0,82.9,118.6,27.0
2020,1,2,8,-0.7,-0.4,0.03,18.0,12.1,27.2,56.7,28.8,18.1
2020,1,2,9,9.3,8.2,0.12,5.3,1.5,50.2,51.1,18.7,18.3
